account_age_days,amount,country,customer_id,device_id,failed_attempts_24h,fraud,merchant_id,payment_method,transaction_id,transaction_time
430.99,58.47,RO,410,30,0,0,6,bank_transfer,39125,2025-01-01 00:35:44
755.5,137.51,US,3460,6836,0,0,90,wallet,32677,2025-01-01 00:40:47
640.16,80.14,BG,3303,5857,0,0,10,bank_transfer,28227,2025-01-01 00:49:56
455.84,45.55,PL,3387,3307,0,0,78,bank_transfer,7412,2025-01-01 00:51:17
143.88,232.67,BG,3062,968,0,0,13,card,7772,2025-01-01 00:54:02
5.0,43.19,BG,3532,1870,1,0,3,bank_transfer,4572,2025-01-01 01:08:54
166.87,234.95,GB,4565,7742,1,0,55,card,24838,2025-01-01 01:18:54
103.88,21.6,BG,3565,1044,1,0,46,card,49823,2025-01-01 01:21:50
356.25,86.69,FR,2948,6843,0,0,14,cash,8880,2025-01-01 01:34:43
105.01,43.79,RO,1866,1938,0,0,6,wallet,19556,2025-01-01 01:41:27
522.39,223.85,PL,2597,6083,1,0,42,card,45382,2025-01-01 01:51:24
383.81,57.14,ES,4364,4722,0,0,82,cash,42287,2025-01-01 01:52:34
787.46,32.41,IT,3134,325,1,0,59,card,19520,2025-01-01 02:24:54
353.94,25.7,NL,4248,2473,0,0,85,cash,2964,2025-01-01 02:37:03
511.91,50.7,DE,3998,619,0,0,81,card,30832,2025-01-01 02:53:22
692.61,52.41,DE,1158,1531,0,0,11,cash,42,2025-01-01 03:06:11
491.88,152.13,BG,4568,6627,0,0,91,card,21991,2025-01-01 03:20:02
424.07,187.54,RO,4968,2550,1,0,80,card,12798,2025-01-01 03:34:48
322.46,41.57,US,1167,6490,1,0,35,bank_transfer,1285,2025-01-01 04:14:26
160.11,293.27,BG,1442,2162,1,0,99,cash,21812,2025-01-01 04:14:59
497.9,18.32,BG,2648,6728,0,0,45,bank_transfer,49323,2025-01-01 04:16:49
213.34,106.84,PL,3855,2998,0,0,40,card,46832,2025-01-01 04:18:29
282.41,12.8,RO,1978,3294,1,0,40,card,15329,2025-01-01 04:33:51
55.87,60.5,US,699,923,0,0,59,,39907,2025-01-01 04:42:38
273.81,171.59,US,2636,2122,0,0,43,card,39427,2025-01-01 04:50:10
552.75,56.68,RO,1908,4666,1,0,56,card,5211,2025-01-01 05:01:35
420.94,132.21,RO,4592,5166,2,0,28,wallet,2755,2025-01-01 05:11:23
521.49,72.46,IT,3287,3625,0,0,54,cash,30312,2025-01-01 05:18:42
658.82,134.23,ES,3734,822,1,0,76,bank_transfer,36548,2025-01-01 05:45:38
288.91,48.1,US,427,5018,1,0,14,card,17896,2025-01-01 05:50:06
792.73,111.89,PL,2376,1984,1,0,62,wallet,40304,2025-01-01 05:57:39
414.87,48.81,US,3200,2896,0,0,89,bank_transfer,47862,2025-01-01 06:00:40
321.46,117.51,US,2430,2595,1,0,47,wallet,28632,2025-01-01 06:08:29
511.01,40.89,RO,614,5866,0,0,52,bank_transfer,21983,2025-01-01 06:08:39
488.67,99.55,BG,4743,2867,1,0,54,card,23537,2025-01-01 06:09:40
416.96,57.4,ES,2723,4626,1,0,5,card,29503,2025-01-01 06:38:42
575.62,32.37,FR,3477,7080,0,0,94,card,30114,2025-01-01 06:39:19
268.51,67.95,NL,2755,1862,1,0,39,card,43350,2025-01-01 06:45:04
876.05,66.3,DE,4153,7517,0,0,1,card,48693,2025-01-01 06:49:37
536.83,215.9,BG,2595,1747,1,0,38,bank_transfer,49257,2025-01-01 07:05:29
539.8,51.61,IT,4764,1370,0,0,77,card,18530,2025-01-01 07:22:26
174.43,73.22,DE,4527,4196,2,0,91,card,22592,2025-01-01 07:30:20
811.99,100.36,US,4870,1130,0,0,93,wallet,16227,2025-01-01 07:37:09
830.91,99.79,NL,2213,2403,1,0,43,wallet,24947,2025-01-01 07:38:47
572.52,183.13,US,566,522,0,0,19,card,34847,2025-01-01 07:45:16
273.51,69.25,US,2778,4237,1,0,69,wallet,28493,2025-01-01 07:51:03
629.94,60.41,BG,407,1064,0,0,32,bank_transfer,49038,2025-01-01 07:51:06
185.73,109.82,GB,965,1634,0,0,68,card,19642,2025-01-01 08:21:02
347.14,200.39,DE,1577,7061,0,0,99,card,1113,2025-01-01 08:29:25
829.6,49.96,BG,1393,7831,0,0,74,card,21761,2025-01-01 08:29:42
428.21,103.41,DE,2464,6700,0,0,42,card,27767,2025-01-01 08:37:50
345.85,25.99,ES,1559,7749,0,0,99,bank_transfer,7393,2025-01-01 08:53:21
496.64,68.66,NL,469,3595,0,0,33,card,20570,2025-01-01 08:53:56
480.03,22.66,FR,3548,524,1,0,33,card,32646,2025-01-01 08:55:52
491.25,95.21,BG,2679,6150,0,0,18,wallet,26931,2025-01-01 08:58:19
113.65,60.09,NL,4523,5505,0,0,96,card,5055,2025-01-01 09:09:12
326.55,172.18,US,149,7082,0,0,14,bank_transfer,31836,2025-01-01 09:27:27
425.97,65.97,NL,220,1064,1,0,34,bank_transfer,41668,2025-01-01 09:45:32
515.31,40.57,FR,1346,5979,0,0,95,bank_transfer,32261,2025-01-01 09:46:20
375.53,39.55,NL,3065,4939,1,0,45,card,1242,2025-01-01 10:00:04
